Time,Measurement 1 (dBm)
01:03.3,-39.1370919
01:03.4,-39.1384519
01:03.6,-39.1400798
01:03.7,-39.1083397
01:03.8,-39.1106352
01:03.9,-39.1143107
01:04.0,-39.115954
01:04.1,-39.1153088
01:04.2,-39.0859225
01:04.3,-39.0859353
01:04.4,-39.0866563
01:04.5,-39.0404595
01:04.6,-39.3158867
01:04.7,-39.2174506
01:04.8,-39.2251391
01:04.9,-39.1713845
01:05.0,-39.1803534
01:05.2,-39.1795183
01:05.3,-39.1914248
01:05.4,-39.1867677
01:05.5,-39.2095615
01:05.6,-39.2159031
01:05.7,-39.2126813
01:05.8,-39.2148654
01:05.9,-39.2124892
01:06.0,-39.2126819
01:06.1,-39.2228211
01:06.2,-39.2240102
01:06.3,-39.2256081
01:06.4,-39.2290919
01:06.5,-39.2103585
01:06.6,-39.2120032
01:06.7,-39.2102904
01:06.8,-39.2122387
01:06.9,-39.208305
01:07.0,-39.1949854
01:07.1,-39.1859517
01:07.2,-39.1709035
01:07.4,-39.1574945
01:07.5,-39.1443007
01:07.6,-39.1307394
01:07.7,-39.1300592
01:07.8,-39.1339349
01:07.9,-39.1395722
01:08.0,-39.1451126
01:08.1,-39.1493718
01:08.2,-39.1521378
01:08.3,-39.1529774
01:08.4,-39.1536654
01:08.5,-39.1570928
01:08.6,-39.1606479
01:08.7,-39.164632
01:08.8,-39.1694739
01:08.9,-39.1725023
01:09.0,-39.1753773
01:09.1,-39.1789631
01:09.2,-39.1798804
01:09.3,-39.1810603
01:09.5,-39.1837187
01:09.6,-39.1854189
01:09.7,-39.187866
01:09.8,-39.1877448
01:09.9,-39.1893078
01:10.0,-39.1920451
01:10.1,-39.1936796
01:10.2,-39.1954814
01:10.3,-39.1949574
01:10.4,-39.1972262
01:10.5,-39.1985233
01:10.6,-39.1996908
01:10.7,-39.1984376
01:10.8,-39.2006868
01:10.9,-39.2021619
01:11.0,-39.2036943
01:11.1,-39.2049786
01:11.2,-39.2057002
01:11.3,-39.2073108
01:11.4,-39.2091861
01:11.5,-39.2082946
01:11.7,-39.2105571
01:11.8,-39.2111348
01:11.9,-39.2124145
01:12.0,-39.2116072
01:12.1,-39.2127087
01:12.2,-39.2121994
01:12.3,-39.2124901
01:12.4,-39.2092718
01:12.5,-39.2099821
01:12.6,-39.2112555
01:12.7,-39.2122475
01:12.8,-39.2118149
01:12.9,-39.2111818
01:13.0,-39.2122725
01:13.1,-39.211848
01:13.2,-39.2120293
01:13.4,-39.2133348
01:13.5,-39.2149671
01:13.6,-39.2154405
01:13.7,-39.2164627
01:13.8,-39.2156547
01:13.9,-39.2140763
01:14.0,-39.213793
01:14.1,-39.1796919
01:14.2,-38.9077484
01:14.3,-39.0392959
01:14.4,-39.0867808
01:14.5,-39.1246669
01:14.6,-39.1311209
01:14.7,-38.9582798
01:14.8,-39.0254137
01:14.9,-39.0421603
01:15.0,-38.8992164
01:15.1,-38.9511842
01:15.2,-38.969889
01:15.3,-38.6477674
01:15.4,-39.2517483
01:15.5,-39.3149986
01:15.7,-39.3368836
01:15.8,-39.3370387
01:15.9,-39.2838191
01:16.0,-39.2971662
01:16.1,-39.2924108
01:16.2,-39.2951424
01:16.3,-39.2965812
01:16.4,-39.2591209
01:16.5,-39.2538671
01:16.6,-39.2776019
01:16.7,-39.1414471
01:16.8,-39.1440446
01:16.9,-39.1661118
01:17.0,-39.185877
01:17.1,-39.2014864
01:17.2,-39.1343228
01:17.3,-39.1555007
01:17.4,-39.1710174
01:17.5,-39.1797114
01:17.6,-39.1995871
01:17.7,-39.2033885
01:17.8,-39.2106146
01:18.0,-39.2174546
01:18.1,-39.2248282
01:18.2,-39.2274082
01:18.3,-39.2334847
01:18.4,-39.2363245
01:18.5,-39.2350249
01:18.6,-39.2410154
01:18.7,-39.2402208
01:18.8,-39.240415
01:18.9,-39.2447366
01:19.0,-39.2472474
01:19.1,-39.2521991
01:19.2,-39.2545033
01:19.3,-39.2551375
01:19.4,-39.2569532
01:19.5,-39.2575163
01:19.6,-39.2541554
01:19.7,-39.2551949
01:19.8,-39.2628322
01:20.0,-39.2637237
01:20.1,-39.264355
